;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;
#;;;;;;;;;;;;;;Decisions;;;;
end_moldavia_independence_title;End Moldavian Self Rule;;;;;;;;;;;;;
end_moldavia_independence_desc;Ever since the 1829 Treaty of Adrianople, Wallachia and Moldavia were placed under Russian military rule, without overturning Ottoman suzerainty. Under the Treaty of Adrianople, the Sultan guaranteed the previously promised autonomy to Serbia, promised autonomy for Greece, and allowed Russia to occupy Moldavia and Wallachia until the Ottoman Empire had paid a large indemnity. By establishing our dominance over these provinces, we can expel the Russian rulers and annex them back to the Ottoman Empire, centralizing rule and restoring order to these territories that belong in our empire. They can, however, resist, which would lead to war with them and potentially any Great Powers that support them. This decision will also sour our relations with other Great Powers, especially Russia.;;;;;;;;;;;;;
end_wallachia_independence_title;End Wallachian Self Rule;;;;;;;;;;;;;
end_wallachia_independence_desc;Ever since the 1829 Treaty of Adrianople, Wallachia and Moldavia were placed under Russian military rule, without overturning Ottoman suzerainty. Under the Treaty of Adrianople, the Sultan guaranteed the previously promised autonomy to Serbia, promised autonomy for Greece, and allowed Russia to occupy Moldavia and Wallachia until the Ottoman Empire had paid a large indemnity. By establishing our dominance over these provinces, we can expel the Russian rulers and annex them back to the Ottoman Empire, centralizing rule and restoring order to these territories that belong in our empire. They can, however, resist, which would lead to war with them and potentially any Great Powers that support them. This decision will also sour our relations with other Great Powers, especially Russia.;;;;;;;;;;;;;
end_romania_independence_title;End Romanian Self Rule;;;;;;;;;;;;;
end_romania_independence_desc;Ever since the 1829 Treaty of Adrianople, Wallachia and Moldavia were placed under Russian military rule, without overturning Ottoman suzerainty. Under the Treaty of Adrianople, the Sultan guaranteed the previously promised autonomy to Serbia, promised autonomy for Greece, and allowed Russia to occupy Moldavia and Wallachia until the Ottoman Empire had paid a large indemnity. By establishing our dominance over these provinces, we can expel the Russian rulers and annex them back to the Ottoman Empire, centralizing rule and restoring order to these territories that belong in our empire. They can, however, resist, which would lead to war with them and potentially any Great Powers that support them. This decision will also sour our relations with other Great Powers, especially Russia.;;;;;;;;;;;;;
russification_of_finland_title;The Integration of Finland;;;;;;;;;;;;;
russification_of_finland_desc;Having enjoyed prosperity and control over their own affairs, and having remained loyal subjects, the manifesto which the $MONARCHTITLE$ issued on $YEAR$ was cause for Finnish despair. The manifesto was forced through the Finnish senate by the deciding vote of the senate president, an appointee of the $MONARCHTITLE$ — and after the governor-general of Finland had threatened a military invasion and siege. While ostensibly affirming the Finns' rights in purely local matters, the manifesto asserted the authority of the state in any and all matters which could be considered to "come within the scope of the general legislation of the $COUNTRY_ADJ$ empire". The main policies enacted were:\nThe conscription law, incorporating the Finnish army into the $COUNTRY_ADJ$ army.\nThe Language Manifesto of $YEAR$ which made $COUNTRY_ADJ$ the language of administration of Finland.\nThe $COUNTRY_ADJ$ Church was the church of state, including, for example, criminalizing the act of subjecting a follower of said chuch to another church service.\nThe Manifesto of $YEAR$ which asserted the $COUNTRY_ADJ$ government's right to rule Finland without the consent of local legislative bodies, including control of the press if necssary and restrictions of $COUNTRY_ADJ$ currency and stamps as the only ones allowed.\nOur Finnish subjects will surely not like this and they might try to resist.;;;;;;;;;;;;;
taiwan_administration_title;Japanese Formosa;;;;;;;;;;;;;
taiwan_administration_desc;Japan now controls Formosa, and our modern administration will get rid of Gaijin names and change the island accordingly.;;;;;;;;;;;;;
proclaim_the_second_republic_title;Proclaim the second French Republic;;;;;;;;;;;;;x;;;;;;;;;;;
proclaim_the_second_republic_desc;Starting as a large-scale protest against the government of François Guizot, it later developed into a violent uprising against the monarchy. Thus, wreaking havoc all throughout Paris. After intense urban fighting, large crowds managed to take control of the capital, leading to the abdication of King Louis Philippe and the subsequent proclamation of the Second Republic.;;;;;;;;;;;;;x;;;;;;;;;;;
#;;;;;;;;;;;;;;Country names;;;;
JAP;Japan;;;;;;;;;;;;;
JAP_absolute_monarchy;Empire of Japan;;;;;;;;;;;;;
JAP_prussian_constitutionalism;Empire of Japan;;;;;;;;;;;;;
JAP_hms_government;Empire of Japan;;;;;;;;;;;;;
JAP_fascist_dictatorship;State of Japan;;;;;;;;;;;;;
JAP_proletarian_dictatorship;Japanese SR;;;;;;;;;;;;;
JAP_democracy;Republic of Japan;;;;;;;;;;;;;
JAP_presidential_dictatorship;Shogunate Japan;;;;;;;;;;;;;
FRA;France;;;;;;;;;;;;;
FRA_absolute_monarchy;Kingdom of France;;;;;;;;;;;;;
FRA_prussian_constitutionalism;Kingdom of France;;;;;;;;;;;;;
FRA_hms_government;Kingdom of France;;;;;;;;;;;;;
FRA_absolute_empire;French Empire;;;;;;;;;;;;;
FRA_semi_constitutional_empire;French Empire;;;;;;;;;;;;;
FRA_constitutional_empire;French Empire;;;;;;;;;;;;;
FRA_fascist_dictatorship;French State;;;;;;;;;;;;;
FRA_proletarian_dictatorship;French SR;;;;;;;;;;;;;
FRA_democracy;French Republic;;;;;;;;;;;;;
FRA_presidential_dictatorship;French Republic;;;;;;;;;;;;;
HND_presidential_dictatorship;Raj;;;;;;;;;;;;;
PRU;Prussia;;;;;;;;;;;;;
NGF;North Germany;;;;;;;;;;;;;
NGF_absolute_monarchy;North German Confederation;;;;;;;;;;;;;
NGF_prussian_constitutionalism;North German Confederation;;;;;;;;;;;;;
NGF_hms_government;North German Confederation;;;;;;;;;;;;;
NGF_fascist_dictatorship;North German State;;;;;;;;;;;;;
NGF_proletarian_dictatorship;North German SR;;;;;;;;;;;;;
NGF_democracy;North German Confederation;;;;;;;;;;;;;
NGF_presidential_dictatorship;North German Confederation;;;;;;;;;;;;;
SPA;Spain;;;;;;;;;;;;;
SPA_absolute_monarchy;Kingdom of Spain;;;;;;;;;;;;;
SPA_prussian_constitutionalism;Kingdom of Spain;;;;;;;;;;;;;
SPA_hms_government;Kingdom of Spain;;;;;;;;;;;;;
SPA_fascist_dictatorship;Spanish State;;;;;;;;;;;;;
SPA_proletarian_dictatorship;Spanish SR;;;;;;;;;;;;;
SPA_democracy;Spanish Republic;;;;;;;;;;;;;
SPA_presidential_dictatorship;Spanish Republic;;;;;;;;;;;;;
SPA_ADJ;Spanish;;;;;;;;;;;;;
GER;Germany;;;;;;;;;;;;;
GER_absolute_monarchy;German Empire;;;;;;;;;;;;;
GER_prussian_constitutionalism;German Empire;;;;;;;;;;;;;
GER_hms_government;German Empire;;;;;;;;;;;;;
GER_fascist_dictatorship;German Reich;;;;;;;;;;;;;
GER_proletarian_dictatorship;German Democratic Republic;;;;;;;;;;;;;
GER_democracy;German Reich;;;;;;;;;;;;;
GER_presidential_dictatorship;German Reich;;;;;;;;;;;;;
GER_ADJ;German;;;;;;;;;;;;;
DUA;England - France;;;;;;;;;;;;;
DUA_absolute_monarchy;Angevin Empire;;;;;;;;;;;;;
DUA_prussian_constitutionalism;Angevin Empire;;;;;;;;;;;;;
DUA_hms_government;Angevin Empire;;;;;;;;;;;;;
DUA_fascist_dictatorship;Anglois State;;;;;;;;;;;;;
DUA_proletarian_dictatorship;Anglois SR;;;;;;;;;;;;;
DUA_democracy;Anglo-French Republic;;;;;;;;;;;;;
DUA_presidential_dictatorship;Anglo-French Republic;;;;;;;;;;;;;
DUA_ADJ;Anglois;;;;;;;;;;;;;
AUS;Austria;;;;;;;;;;;;;
AUS_ADJ;Austrian;;;;;;;;;;;;;
PRV;Provence;;;;;;;;;;;;;
PRV_ADJ;Provencal;;;;;;;;;;;;;
ARN;Aragon;;;;;;;;;;;;;
ARN_absolute_monarchy;Kingdom of Aragon;;;;;;;;;;;;;
ARN_prussian_constitutionalism;Kingdom of Aragon;;;;;;;;;;;;;
ARN_hms_government;Kingdom of Aragon;;;;;;;;;;;;;
ARN_fascist_dictatorship;Aragonese State;;;;;;;;;;;;;
ARN_proletarian_dictatorship;Aragonese SR;;;;;;;;;;;;;
ARN_democracy;Aragonese Republic;;;;;;;;;;;;;
ARN_presidential_dictatorship;Aragonese Republic;;;;;;;;;;;;;
ARN_ADJ;Aragonian;;;;;;;;;;;;;
BRG;Burgundy;;;;;;;;;;;;;
BRG_absolute_monarchy;Kingdom of Burgundy;;;;;;;;;;;;;
BRG_prussian_constitutionalism;Kingdom of Burgundy;;;;;;;;;;;;;
BRG_hms_government;Kingdom of Burgundy;;;;;;;;;;;;;
BRG_fascist_dictatorship;Ordensstaat Burgund;;;;;;;;;;;;;
BRG_proletarian_dictatorship;Burgundian SR;;;;;;;;;;;;;
BRG_democracy;Burgundian Republic;;;;;;;;;;;;;
BRG_presidential_dictatorship;Burgundian Republic;;;;;;;;;;;;;
BRG_ADJ;Burgundian;;;;;;;;;;;;;
HUN;Hungary;;;;;;;;;;;;;
HUN_absolute_monarchy;Kingdom of Hungary;;;;;;;;;;;;;
HUN_prussian_constitutionalism;Kingdom of Hungary;;;;;;;;;;;;;
HUN_hms_government;Kingdom of Hungary;;;;;;;;;;;;;
HUN_fascist_dictatorship;Hungarian State;;;;;;;;;;;;;
HUN_proletarian_dictatorship;Hungarian SR;;;;;;;;;;;;;
HUN_democracy;Republic of Hungary;;;;;;;;;;;;;
HUN_presidential_dictatorship;Republic of Hungary;;;;;;;;;;;;;
HUN_ADJ;Hungarian;;;;;;;;;;;;;
RUS;Russia;;;;;;;;;;;;;
RUS_absolute_monarchy;Russian Empire;;;;;;;;;;;;;
RUS_prussian_constitutionalism;Russian Empire;;;;;;;;;;;;;
RUS_hms_government;Russian Empire;;;;;;;;;;;;;
RUS_fascist_dictatorship;Russian National State;;;;;;;;;;;;;
RUS_proletarian_dictatorship;Soviet Union;;;;;;;;;;;;;
RUS_democracy;Russian Republic;;;;;;;;;;;;;
RUS_presidential_dictatorship;Russian Federation;;;;;;;;;;;;;
RUS_ADJ;Russian;;;;;;;;;;;;;
ITA;Italy;;;;;;;;;;;;;
ITA_absolute_monarchy;Kingdom of Italy;;;;;;;;;;;;;
ITA_prussian_constitutionalism;Kingdom of Italy;;;;;;;;;;;;;
ITA_hms_government;Kingdom of Italy;;;;;;;;;;;;;
ITA_fascist_dictatorship;Italian Social Republic;;;;;;;;;;;;;
ITA_proletarian_dictatorship;Italian SR;;;;;;;;;;;;;
ITA_democracy;Italian Republic;;;;;;;;;;;;;
